price,location,brand,model,km_driven,vehicle_type,engine_capacity,origin,age,brand_model,description,xe_zin,xe_da_thay_doi,xe_co,xe_pkl,xe_chinh_chu,xe_nang_cap,log_km,km_per_year,vehicle_type_num,engine_capacity_num,origin_num,is_outlier,cluster,cluster_label
66.0,Quận 1,Piaggio,Vespa,14000,Tay ga,100 - 175 cc,Other,1,Piaggio Vespa,bán vespa sprint chính chủ xanh dương xe còn mới đẹp bán xe vespa sprint chính chủ mua mới tại topcom xe chính chủ chạy được khuyến mãi giá triệu thương lượng anh chị quan tâm nhắn zalo số công chứng hợp đồng mua bán trong ngày,False,False,False,False,True,False,9.546884034617925,7000.0,1,0,3,False,8,Tay Ga - Chính Chủ (Không Zin)
79.5,Quận 1,Honda,SH,28000,Tay ga,100 - 175 cc,Other,6,Honda SH,honda sh i thắng abs biển số thành phố chính chủ bán honda sh i thắng abs xám bạc úp team xám xi măng xe nhà sử dụng kỹ ít đi chính chủ biển số thành phố xe mới rất mới máy móc nguyên nguyên bản êm ái nhanh mạnh anh em qua xe xem test thoải mái mua bán tại nhà sang tên ký giấy nốt nhạc xem xe tại nhà tân sơn nhì phường tân sơn nhì quận tân phú,True,False,False,False,True,True,10.239995502805316,4000.0,1,0,3,False,5,Tay Ga - Đã Nâng Cấp
37.0,Quận 1,Honda,Vision,12000,Tay ga,100 - 175 cc,Other,2,Honda Vision,chính chủ vision thể thao đen bộ đèn demi audi a chính chủ bán vision phiên bản thể thao đen xe mua chính hãng tháng bảo dưỡng định kỳ đầy đủ xe gia đình đi giữ gìn xe đã độ xe lên đèn demi led audi a và đèn hậu led audi a giá thị trường triệu còn nguyên đèn mới nguyên bản theo xe liên hệ chính chủ xau xau năm sáu,True,False,False,False,True,True,9.392745258631441,4000.0,1,0,3,False,5,Tay Ga - Đã Nâng Cấp
45.0,Quận 1,Piaggio,Vespa,60000,Tay ga,100 - 175 cc,Other,6,Piaggio Vespa,vespa sprint đen đỏ sport chính chủ xe cá nhân bán xe do em đứng tên chính chủ chi tiết hình ảnh xe đã có đủ cần thì liên hệ em sản phẩm theo xe nguyên bản còn kính bao tay cảng sau chìa khóa còn đủ có giảm giá thêm cho anh chị về sơn dậm lại xem xe chi tiết quận liên hệ trao đổi qua giàlô không bốn ba hai,True,False,False,False,True,False,11.002116507732017,8571.42857142857,1,0,3,False,2,Tay Ga Zin - Chính Chủ
23.0,Quận 1,Yamaha,Latte,24000,Tay ga,100 - 175 cc,Nhật Bản,4,Yamaha Latte,xe tay ga yamaha latte đăng ký thông tin xe dòng xe tay ga cao cấp yamaha latte máy mạnh tiết kiệm xăng màu đen nhám phối yên nâu xe thuộc phiên bản cao cấp có hệ thống stop start system giúp tiết kiệm nhiên liệu và giảm khí thải quãng đường hiện tại hơn khuyến mãi bảo dưỡng định kỳ đều máy móc vẫn rất ổn định đăng ký lần đầu tháng máy nguyên bản đề nhạy vận hành êm ái cốp xe rộng tiện để nón túi xách bánh còn chạy tốt phanh an toàn đèn đóm đầy đủ quận tp hcm xem xe trực tiếp tại nhà theo hẹn giá bán triệu,True,False,False,False,False,False,10.085850775128717,4800.0,1,0,2,False,9,Tay Ga - Zin (Không Chính Chủ)
7.5,Quận 1,SYM,Elegant,25000,Xe số,Dưới 50 cc,Other,7,SYM Elegant,xe hoc sinh di hoc nay có giấy phép lái xe muốn bán lại xe cup chính chủ không cần giấy phép lái xe chay im không hao xăng đề cái chạy,False,False,False,False,True,False,10.12667110305036,3125.0,2,2,3,False,7,Tay Ga Nhỏ (<50cc) - Chính Chủ
16.0,Quận 1,Honda,Air Blade,80000,Tay ga,100 - 175 cc,Việt Nam,12,Honda Air Blade,xe air blade xe air blade bst số khuyến mãi xe mới giảm giá giá cả thương lượng thêm,False,False,False,False,False,False,11.289794413577894,6153.846153846154,1,0,6,False,10,Tay Ga Phổ Thông - Đại Trà
7.3,Quận 1,Honda,Wave,2,Xe số,50 - 100 cc,Other,22,Honda Wave,bán xe wave hq up dàn áo leng rất mới cục máy làm chạy nhẹ xe dàn áo còn rất mới biển số thành phố bao tranh chấp gtdd c giá triệu giảm giá xăng cộ anh em xem xe cô dì chú bán anh em ưng ý thì kb zalo eml,False,False,False,False,False,False,1.0986122886681098,0.08695652173913043,2,1,3,False,6,Tay Ga - Mới/Ít Km
7.5,Quận 1,Yamaha,Sirius,35000,Xe số,100 - 175 cc,Việt Nam,10,Yamaha Sirius,cần bán xe để đối xe nên để giá yêu thương xe chính chủ xe chạy còn ngon máy mạnh bị bể bửng trước liên hệ,False,False,False,False,True,False,10.463131911491967,3181.818181818182,2,0,6,False,8,Tay Ga - Chính Chủ (Không Zin)
33.0,Quận 1,Honda,Lead,20000,Tay ga,100 - 175 cc,Việt Nam,5,Honda Lead,xe honda lead biển số thành phố bản giới hạn đèn led mình đi xuất cảnh định cư nên cần bán chiếc xe honda lead biển số thành phố xe nhà ít đi bảo dưỡng định kỳ đầy đủ nên xe còn rất mới nguyên bản từ trong ra ngoài nước sơn nguyên bản không dặm tút máy móc nguyên bản êm ái chạy rất mạnh và nhẹ ga xe này mua về là đi thôi không phải làm gì hết xe sài smakey còn đủ kính xe màu đỏ đô tới xem xe phát hiện ra chổ nào không nguyên bản hoặc dậm tút tặng luôn xe mình là nguoi dùng bán chứ không phải cò lái giấy tờ hợp pháp mua bán ra phòng công chứng công chứng sang tên luôn,True,False,False,False,False,False,9.90353755128617,3333.3333333333335,1,0,6,False,9,Tay Ga - Zin (Không Chính Chủ)
