price,location,brand,model,km_driven,age,brand_model,description,xe_zin,xe_da_thay_doi,xe_co,xe_pkl,xe_chinh_chu,xe_nang_cap,log_km,km_per_year,vehicle_type_num,engine_capacity_num,origin_num,vtype_Tay ga,vtype_Xe số,engine_50 - 100 cc,engine_Dưới 50 cc,engine_Trên 175 cc,origin_Mỹ,origin_Nhật Bản,origin_Other,origin_Thái Lan,origin_Trung Quốc,origin_Việt Nam,origin_Đài Loan,origin_Đức,origin_Ấn Độ,vtype_display,is_outlier,cluster,vehicle_type_display,cluster_label
15.9,Quận Bình Tân,Yamaha,Exciter,51000,9,Yamaha Exciter,cần bán exciter bs giao căn cước công dân sđt chủ btc máy nguyên bản êm ái excuter bs giao căn cước công dân chủ sđt liên hệ quãng đường chuẩn không,True,False,False,False,False,False,10.839600519357369,5100.0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tay côn/Moto,False,2,Tay côn/Moto,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
14.5,Quận Bình Tân,Honda,Future,40000,10,Honda Future,đổi xe bán future mập fi ku em đi làm hàng ngày đổi xe bán future mập fi chính chủ từ đầu nguyên bản từ a đến á mới đi khuyến mãi xem xe tại nhà ngay ngã tư bốn xã quận bình tân bớt tí lộc cafe thôi nhé,True,False,False,False,True,False,10.596659732783579,3636.3636363636365,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Xe số,False,3,Xe số,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
1.9,Quận Bình Tân,SYM,Enjoy,48651,15,SYM Enjoy,xe enjoy màu đen chạy ổn máy hơi kêu xe enjoy màu đen cũ theo năm tháng xe chạy chữa cháy có giấy tờ đầy đu,False,False,False,False,False,False,10.792448196738327,3040.6875,1,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Tay ga,False,2,Tay ga,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
1.3,Quận Bình Tân,Honda,other,88699,24,Honda other,bán xe ve chai cần bán xe như hình còn nổ máy chạy bình thường máy hơi kêu ai có nhu cầu xin liên hệ,False,False,False,False,False,False,11.393015168297671,3547.96,2,1,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
21.5,Quận Bình Tân,Honda,Wave,300,0,Honda Wave,xe mới mua chỉ đi chợ không trầy xước xe mới chưa đi xa chỉ đi chợ muốn bán cho ai cần đi xe em ru,False,False,False,False,False,False,5.707110264748875,300.0,2,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
2.0,Quận Bình Tân,Honda,Wave,35000,11,Honda Wave,thanh lý wave bán xe wave máy mạnh êm ái rớt dép nổ xe khô ráo không xì nhớt bao chở hàng nặng cho anh em đi làm hàng ngày đi cày ctrinh các kiểu giá này anh em tự hiểu giúp mình tiếp người thiện chí mua thực sự giá không bớt mua xe qua xem test trực tiếp cho dễ xe tiết kiệm xăng thank chợ chạy tốt duyệt tin,False,False,False,False,False,False,10.463131911491967,2916.6666666666665,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Xe số,False,3,Xe số,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
7.6,Quận Bình Tân,Honda,Wave,49000,12,Honda Wave,bán wave s c nguyên nguyên bản dán keo bán wave s c dán keo đầu nồi còn nguyên nguyên bản xe nhà sd còn mới còn mới đẹp về chạy liền khỏi sửa chữa trước mua cửa hàng không ký giấy bán viết giấy bao tranh chấp giá t,True,True,False,False,False,False,10.799595985047786,3769.230769230769,2,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
46.6,Quận Bình Tân,Yamaha,Exciter,8888,17,Yamaha Exciter,biển số thành phố chính chủ giá còn thương lượng hàng về nha anh em s sph light cặp cùm nvx ga dẹp kenhin sịn ic banjin cùi đĩa cnc ống xả êm ái theo bài phuoc rcb tay thắng rcb ốc tán inox giò đạp spark baga titan xịn ao tem nguyên bản theo xe choa xi nhan zipat đông hô spack thái nguyên bản,True,False,False,False,True,False,9.092569836241674,493.77777777777777,2,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
13.0,Quận Bình Tân,Yamaha,Exciter,200000,13,Yamaha Exciter,cần bán máy móc kêu giá cả còn thương lượng sđt,False,False,False,False,False,False,12.206077645517674,14285.714285714286,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Tay côn/Moto,False,3,Tay côn/Moto,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
16.5,Quận Bình Tân,Honda,Dream,20000,14,Honda Dream,dream vietnam chính chủ xe chạy kỹ có kiểm tra thay nhớt thường xuyên có thể xem xe trực tiếp,False,True,False,False,True,False,9.90353755128617,1333.3333333333333,2,0,6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Xe số,False,2,Xe số,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
8.3,Quận Bình Tân,Honda,Cub,26789,6,Honda Cub,cần bán cub chính chủ đời mới có đề dành cho học sinh lúc trước mua cho con gái đi học nay đã ra trường nên nhường lại cho ai cần xe cub chính chủ có đề phù hợp cho học sinh sinh viên hoặc anh chị em nào chưa có giấy phép lái xe máy mõc em ru nước sơn còn còn mới đẹp bình đề đầy đủ giấy tờ đầy đủ xe như hình ai nhu cầu liên hệ,False,False,False,False,True,False,10.195783962538654,3827.0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
11.2,Quận Bình Tân,Honda,Cub,38000,23,Honda Cub,bán xe cup nhật chính chủ có đề xe cub honda nhật chính chủ nhà dư dùng cần bán lại cho anh chị em nào mua cho con em đi học không phải lo sợ bị công an bắt xe còn mới đẹp máy chạy êm ái ru tiết kiệm xăng xe mua bán tại nhà giấy tờ đầy đủ hộp lệ liên hệ số đt xin cảm ơn chợ chạy tốt đăng tin giúp đỡ ạ,False,False,False,False,True,False,10.545367754151743,1583.3333333333333,2,2,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
3.1,Quận Bình Tân,Yamaha,Sirius,30000,15,Yamaha Sirius,sirius bán xe như hình đề xn còn máy móc ok giấy tờ như hình không trả giá không tn,False,False,False,False,False,False,10.308985993422082,1875.0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
3.5,Quận Bình Tân,Honda,@,431847,18,Honda @,xe honda stream nhập nhật bản xe honda stream nhập nhật bản xe nhập nên máy chạy tốt lắm chưa bao giờ chết máy xe dù mưa có ngặp đến nữa xe vẫn vận hành chạy tốt biển số còn mới đẹp,False,False,False,False,False,False,12.97582895346001,22728.78947368421,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tay ga,False,0,Tay ga,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
165.0,Quận Bình Tân,Honda,CB,13000,4,Honda CB,honda cb r đen nhám em cần bán honda cb r đen nhám biển số sài gòn chính chủ quãng đường không đồ chơi cơ bản chống đổ gù nâng bánh sau mão honda cb set ống xả ak đùi gà chưa đâm đụng té ngã chuẩn quãng đường nhớt xịn giá x vừa lớn có thương lượng ạ xem xe tại bình tân gọi em,False,False,False,False,True,True,9.472781556562168,2600.0,0,3,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Tay côn/Moto,False,1,Tay côn/Moto,Tay Ga Cao Cấp - Hạng Sang (100M+)
13.5,Quận Bình Tân,Honda,Vision,999999,9,Honda Vision,cần bán lại con vision đời còn giảm giá xe năm thích hợp cho anh em mua về chạy dịch vụ xe ít hư vặt có trầy theo năm tháng sử dụng,False,False,False,False,False,False,13.815510557964274,99999.9,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,3,Tay ga,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
10.8,Quận Bình Tân,Yamaha,Nozza,78545,12,Yamaha Nozza,bán hàng về nozza fi biển số thành phố chủ xe còn mới đẹp theo năm tháng máy nguyên bản chưa rớt đầu máy sạch sẽ không nhớt giá xem xe ngã tư go mây liên hệ,True,False,False,False,True,False,11.271439719408153,6041.923076923077,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Tay ga,False,0,Tay ga,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
8.0,Quận Bình Tân,Honda,Wave,50000,11,Honda Wave,cần bán wave rsx fi biển số thành phố c do kẹt tiền cần cần bán nhanh wave rsx fi biển số thành phố c công chứng liền khi giao dịch xong,False,False,False,False,False,False,10.819798284210286,4166.666666666667,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Xe số,False,0,Xe số,Xe Số Cũ - Giá Rẻ (Dưới 15 Triệu)
26.0,Quận Bình Tân,Yamaha,Exciter,0,6,Yamaha Exciter,exciter biển số thành phố nguyên bản kiểng zô mấy món liên hệ để biết chi tiết tình trạng xe sđt,True,False,False,False,False,False,0.0,0.0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay côn/Moto,False,4,Tay côn/Moto,Tay Ga Mới - Ít Sử Dụng (Như Mới)
6.6,Quận Bình Tân,Honda,Wave,75,16,Honda Wave,cần bán wave s nhật bs triệu giảm giá nhẹ wave nhật máy nguyên bản êm ái bs ngoại hình tạm có trẩy do chở đồ,True,False,False,False,False,False,4.330733340286331,4.411764705882353,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Xe số,False,4,Xe số,Tay Ga Mới - Ít Sử Dụng (Như Mới)
15.5,Quận Bình Tân,Honda,Dylan,20,17,Honda Dylan,xe mới dọn mới còn mới đẹp y hình máy bao êm ái xe mới dọn máy bao êm ái đổ xăng là chạy,False,False,False,False,False,True,3.044522437723423,1.1111111111111112,1,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Tay ga,False,4,Tay ga,Tay Ga Mới - Ít Sử Dụng (Như Mới)
28.0,Quận Bình Tân,Yamaha,Exciter,30562,16,Yamaha Exciter,cần bán xe execte chính chủ s ctd xe chua mở nổi đầu nguyên bản êm ái như chó chét tiếp người thiện tri muốn mua gặp trực tiếp thương lượng xe ban bao tranh chấp giá nay qua rẻ cho a e ve lam thông tư cảm ơn ace đã xem tin,True,False,False,False,True,False,10.327545406001606,1797.764705882353,2,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Xe số,False,3,Xe số,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
82.0,Quận Bình Tân,Honda,SH,20800,10,Honda SH,bán xe honda sh i xe nhà ít dùng còn nguyên nguyên bản nay không đi cần để lại cho anh em cần,True,False,False,False,False,False,9.942756341456828,1890.909090909091,1,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,Tay ga,False,1,Tay ga,Tay Ga Cao Cấp - Hạng Sang (100M+)
21.5,Quận Bình Tân,Honda,Winner X,20000,4,Honda Winner X,bán xe winner x xe trong tình trạng hoàn hảo bảo dưỡng định kỳ định kỳ do nhà chật nên bán xe nguyên bản máy nguyên bản êm ái bao anh em test thoải mái chính chủ công chứng hay ủy quyền đều dc cò lái né dùm em mua bán tại nhà anh em ien tâm ai cần thì alo em,True,False,False,False,True,False,9.90353755128617,4000.0,0,3,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Tay côn/Moto,False,2,Tay côn/Moto,Tay Ga Phổ Thông - Đại Trà (15-30 Triệu)
18.0,Quận Bình Tân,Honda,Wave,8500,1,Honda Wave,cần bán xe wave xám trắng xe chính chủ biển số định danh xem xe tại quận bình tân,False,False,False,False,True,False,9.04793908261736,4250.0,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Xe số,False,3,Xe số,Tay Ga Trung Cấp - Chất Lượng Tốt (20-35M)
